,index,Dataset,expID,dumpPath,N,Architecture,FeatureLevel,ROIType,Slices,Aggregation,Augmentations,FSel,NFeatures,Clf,Clf_Parameters,Accuracy,AUC,Specificity,Sensitivity,Time_Overall
94,169473,CRLM,f0ce35f39272f374c250d0c625638905,/home/aydin/results/radPretrained/results/CRLM_f0ce35f39272f374c250d0c625638905/1aa1366d934dbdebb476d1ea884feeb2.dump,76,ResNet18,Mid,ROIchannel,All,Mean,None,RF,16,NeuralNetwork,"{'layer_1': 16, 'layer_2': 4, 'layer_3': 16}",0.5789473684210527,0.7041666666666667,0.65,0.7222222222222222,2.6941311359405518
95,165558,CRLM,ad1799b91804232a3478ab5db6cb821c,/home/aydin/results/radPretrained/results/CRLM_ad1799b91804232a3478ab5db6cb821c/907857082df44e17f5a4b2f3aef6f554.dump,76,ResNet18,Mid,ROIchannel,Max,Mean,None,ET,8,RBFSVM,"{'C': 4.0, 'gamma': 'auto'}",0.7105263157894737,0.7548611111111112,0.725,0.7222222222222222,2.247864246368408
96,161166,CRLM,325d3d592cebabd67e90a6331ef9966e,/home/aydin/results/radPretrained/results/CRLM_325d3d592cebabd67e90a6331ef9966e/acf4ff37bc9baeadddfc6dc3a2a525d6.dump,76,ResNet18,Mid,ROIcut,All,Max,None,tScore,4,NeuralNetwork,"{'layer_1': 4, 'layer_2': 16, 'layer_3': 16}",0.618421052631579,0.7218749999999999,0.675,0.75,1.2865221500396729
97,162705,CRLM,862c1f0aa035d9aea8282a95a936e0bf,/home/aydin/results/radPretrained/results/CRLM_862c1f0aa035d9aea8282a95a936e0bf/cf0064829cdaa4c6bc192d81b0d1b721.dump,76,ResNet18,Mid,ROIcut,All,Mean,None,RF,4,NeuralNetwork,"{'layer_1': 16, 'layer_2': 16, 'layer_3': 4}",0.5131578947368421,0.7000000000000001,0.725,0.5833333333333334,2.840470314025879
98,160626,CRLM,819429f8fda384b4bdc18170023c7b3e,/home/aydin/results/radPretrained/results/CRLM_819429f8fda384b4bdc18170023c7b3e/92ac1aa2fd0860eccf242cff2ffca61a.dump,76,ResNet18,Mid,ROIcut,Max,Mean,None,tScore,16,NeuralNetwork,"{'layer_1': 4, 'layer_2': 16, 'layer_3': 4}",0.47368421052631576,0.6732638888888889,0.625,0.6666666666666666,1.1327242851257324
99,139723,CRLM,ae764cf54795cc9b7f45a6d35a915f60,/home/aydin/results/radPretrained/results/CRLM_ae764cf54795cc9b7f45a6d35a915f60/ad39c9381754b49c813546ba55aaec62.dump,76,ResNet18,Top,ROI,All,Max,None,Bhattacharyya,64,RBFSVM,"{'C': 1.0, 'gamma': 'auto'}",0.6842105263157895,0.7249999999999999,0.775,0.6666666666666666,1.0883800983428955
100,140880,CRLM,545d80bb2c2ca099b4f4af2fc771a489,/home/aydin/results/radPretrained/results/CRLM_545d80bb2c2ca099b4f4af2fc771a489/3a65c007a7a959462db3d83581c26c4f.dump,76,ResNet18,Top,ROI,All,Mean,None,RF,4,NeuralNetwork,"{'layer_1': 16, 'layer_2': 4, 'layer_3': 4}",0.47368421052631576,0.6819444444444446,0.725,0.6388888888888888,3.3985769748687744
101,137202,CRLM,bdf78efc69c33ec6f5e18a210b9b2cb3,/home/aydin/results/radPretrained/results/CRLM_bdf78efc69c33ec6f5e18a210b9b2cb3/c62c4c142626fb89ae2cea421559907a.dump,76,ResNet18,Top,ROI,Max,Mean,None,LASSO,8,NeuralNetwork,"{'layer_1': 64, 'layer_2': 16, 'layer_3': 64}",0.6578947368421053,0.7138888888888889,0.65,0.7222222222222222,1.1140053272247314
102,150056,CRLM,242f14a84bd309fa4622c0e72d46f283,/home/aydin/results/radPretrained/results/CRLM_242f14a84bd309fa4622c0e72d46f283/d8a6531d6ed773056536b97cb2f49af5.dump,76,ResNet18,Top,ROIchannel,All,Max,None,Anova,4,NeuralNetwork,"{'layer_1': 4, 'layer_2': 16, 'layer_3': 4}",0.5921052631578947,0.6857638888888888,0.525,0.6944444444444444,1.3382642269134521
103,151881,CRLM,cedac5da1d724a5c1379fe003117df21,/home/aydin/results/radPretrained/results/CRLM_cedac5da1d724a5c1379fe003117df21/c27971a8df6e1e68b5813f2005f5b6cc.dump,76,ResNet18,Top,ROIchannel,All,Mean,None,RF,8,NeuralNetwork,"{'layer_1': 16, 'layer_2': 16, 'layer_3': 64}",0.5921052631578947,0.6715277777777777,0.725,0.5833333333333334,3.242924213409424
104,147621,CRLM,4cefc6fdb8e95050d3494ff14b426144,/home/aydin/results/radPretrained/results/CRLM_4cefc6fdb8e95050d3494ff14b426144/7532c57065d57ee71055c02f925246d2.dump,76,ResNet18,Top,ROIchannel,Max,Mean,None,tScore,8,NeuralNetwork,"{'layer_1': 64, 'layer_2': 4, 'layer_3': 64}",0.7631578947368421,0.8104166666666666,0.725,0.7777777777777778,1.748981237411499
105,144936,CRLM,8953067f1fcc4985b75df7941ab1423f,/home/aydin/results/radPretrained/results/CRLM_8953067f1fcc4985b75df7941ab1423f/048922b5f70bf225bd1abd53e9618b51.dump,76,ResNet18,Top,ROIcut,All,Max,None,tScore,8,NeuralNetwork,"{'layer_1': 16, 'layer_2': 16, 'layer_3': 4}",0.6052631578947368,0.6805555555555555,0.625,0.6666666666666666,1.6388442516326904
106,146276,CRLM,3ead52c0c148cb81ee702b26c6f9bee7,/home/aydin/results/radPretrained/results/CRLM_3ead52c0c148cb81ee702b26c6f9bee7/d8a6531d6ed773056536b97cb2f49af5.dump,76,ResNet18,Top,ROIcut,All,Mean,None,Anova,4,NeuralNetwork,"{'layer_1': 4, 'layer_2': 16, 'layer_3': 4}",0.5921052631578947,0.7590277777777779,0.75,0.75,1.2169771194458008
107,143326,CRLM,fa9e7ec0884bfad67c900df4c8e91a31,/home/aydin/results/radPretrained/results/CRLM_fa9e7ec0884bfad67c900df4c8e91a31/c882ff5cac2ab59009e0941918edc3f9.dump,76,ResNet18,Top,ROIcut,Max,Mean,None,LASSO,64,NeuralNetwork,"{'layer_1': 16, 'layer_2': 64, 'layer_3': 16}",0.6710526315789473,0.7347222222222222,0.6,0.8055555555555556,1.129676103591919
108,190508,CRLM,056d6b99e299b2f45152e80b598a6f59,/home/aydin/results/radPretrained/results/CRLM_056d6b99e299b2f45152e80b598a6f59/e028191c87e8d626494dd370d07c871e.dump,76,ResNet50,Mid,ROI,All,Max,None,tScore,32,NeuralNetwork,"{'layer_1': 4, 'layer_2': 16, 'layer_3': 4}",0.6447368421052632,0.7149305555555556,0.675,0.75,3.5771329402923584
109,191868,CRLM,ad95069a771f9f80e0e277e20883916e,/home/aydin/results/radPretrained/results/CRLM_ad95069a771f9f80e0e277e20883916e/a1faa68c1019c7580fa08ba957d06aea.dump,76,ResNet50,Mid,ROI,All,Mean,None,tScore,1,NeuralNetwork,"{'layer_1': 4, 'layer_2': 4, 'layer_3': 4}",0.47368421052631576,0.7746527777777779,0.675,0.8055555555555556,3.4915623664855957
110,187852,CRLM,b26b6e45f9e222b4ceff0cee360b43f1,/home/aydin/results/radPretrained/results/CRLM_b26b6e45f9e222b4ceff0cee360b43f1/6e0ea2a03644b6c67ac4505725ce9cef.dump,76,ResNet50,Mid,ROI,Max,Mean,None,LASSO,8,NeuralNetwork,"{'layer_1': 64, 'layer_2': 16, 'layer_3': 16}",0.6842105263157895,0.7041666666666667,0.725,0.6944444444444444,1.947817087173462
111,200453,CRLM,b3e11c01dbf3e0655c22878c3511441b,/home/aydin/results/radPretrained/results/CRLM_b3e11c01dbf3e0655c22878c3511441b/ef21672ac6f8bee63c5321734a805efc.dump,76,ResNet50,Mid,ROIchannel,All,Max,None,Anova,1,NeuralNetwork,"{'layer_1': 4, 'layer_2': 4, 'layer_3': 16}",0.5263157894736842,0.7708333333333334,0.775,0.7222222222222222,1.6749248504638672
112,202774,CRLM,2cd1ae2ac1a533560d2e4b34190cc301,/home/aydin/results/radPretrained/results/CRLM_2cd1ae2ac1a533560d2e4b34190cc301/f88652b18124e28dd6db0a1a17a302e0.dump,76,ResNet50,Mid,ROIchannel,All,Mean,None,LASSO,8,NeuralNetwork,"{'layer_1': 4, 'layer_2': 4, 'layer_3': 64}",0.6710526315789473,0.7243055555555555,0.8,0.5833333333333334,1.905585527420044
113,198703,CRLM,de5a154749c83f7ed21208c968f13b1b,/home/aydin/results/radPretrained/results/CRLM_de5a154749c83f7ed21208c968f13b1b/c8028a7f135271233636c501f9248ce7.dump,76,ResNet50,Mid,ROIchannel,Max,Mean,None,Bhattacharyya,64,NeuralNetwork,"{'layer_1': 16, 'layer_2': 4, 'layer_3': 64}",0.5657894736842105,0.6513888888888889,0.775,0.5,2.7332608699798584
114,195408,CRLM,b478b9954aceeba999dcd09edcfe0bb1,/home/aydin/results/radPretrained/results/CRLM_b478b9954aceeba999dcd09edcfe0bb1/c85201766213cecad94f4e087792b296.dump,76,ResNet50,Mid,ROIcut,All,Max,None,Bhattacharyya,4,RBFSVM,"{'C': 1.0, 'gamma': 'auto'}",0.631578947368421,0.7402777777777778,0.675,0.6944444444444444,2.1749680042266846
115,197498,CRLM,8a5a46f0d3e211a9ceca632ee79c2f07,/home/aydin/results/radPretrained/results/CRLM_8a5a46f0d3e211a9ceca632ee79c2f07/246904c9317f2fd7762718d6f90f5ac2.dump,76,ResNet50,Mid,ROIcut,All,Mean,None,tScore,64,NeuralNetwork,"{'layer_1': 4, 'layer_2': 16, 'layer_3': 4}",0.6710526315789473,0.7173611111111111,0.675,0.6944444444444444,3.301058530807495
116,193648,CRLM,619ca5681bb5351e95a93d0df625d141,/home/aydin/results/radPretrained/results/CRLM_619ca5681bb5351e95a93d0df625d141/47ef73161b90d96b375bc05968711c6a.dump,76,ResNet50,Mid,ROIcut,Max,Mean,None,Anova,2,NeuralNetwork,"{'layer_1': 4, 'layer_2': 64, 'layer_3': 64}",0.618421052631579,0.6763888888888889,0.625,0.75,1.7958941459655762
117,173712,CRLM,1ffd86da6552711bd2f55d7d879da66b,/home/aydin/results/radPretrained/results/CRLM_1ffd86da6552711bd2f55d7d879da66b/a9a7dfaf043abffdb1cf013a6fc86d4b.dump,76,ResNet50,Top,ROI,All,Max,None,Anova,2,NeuralNetwork,"{'layer_1': 16, 'layer_2': 16, 'layer_3': 4}",0.6447368421052632,0.7784722222222222,0.8,0.6944444444444444,2.578885555267334
118,174206,CRLM,8c4496173af09d89039811f5ed92f371,/home/aydin/results/radPretrained/results/CRLM_8c4496173af09d89039811f5ed92f371/314baf322591fbdcb79be5c1322b42fd.dump,76,ResNet50,Top,ROI,All,Mean,None,Bhattacharyya,2,NeuralNetwork,"{'layer_1': 4, 'layer_2': 64, 'layer_3': 16}",0.5789473684210527,0.7131944444444445,0.6,0.7777777777777778,4.022801160812378
119,171383,CRLM,f3d8d8b1e1e9153ccac6406aab117361,/home/aydin/results/radPretrained/results/CRLM_f3d8d8b1e1e9153ccac6406aab117361/8c34c055d193f7042ed70d702b0968b9.dump,76,ResNet50,Top,ROI,Max,Mean,None,LASSO,2,NeuralNetwork,"{'layer_1': 4, 'layer_2': 16, 'layer_3': 16}",0.5526315789473685,0.7118055555555556,0.775,0.6944444444444444,3.039405107498169
120,184501,CRLM,76677c50b147d7dc0c32f6cf09f69ce9,/home/aydin/results/radPretrained/results/CRLM_76677c50b147d7dc0c32f6cf09f69ce9/4425d1474bf1487cb15524929eff92e1.dump,76,ResNet50,Top,ROIchannel,All,Max,None,LASSO,64,RBFSVM,"{'C': 1.0, 'gamma': 'auto'}",0.7105263157894737,0.7972222222222223,0.7,0.8611111111111112,3.105497121810913
121,185811,CRLM,6c9f11fc4f51bcd7bbf9be90044081d1,/home/aydin/results/radPretrained/results/CRLM_6c9f11fc4f51bcd7bbf9be90044081d1/fdfff86d508a1e5fb27ec26e9b3bfbdd.dump,76,ResNet50,Top,ROIchannel,All,Mean,None,LASSO,4,NeuralNetwork,"{'layer_1': 64, 'layer_2': 4, 'layer_3': 64}",0.6710526315789473,0.7402777777777778,0.675,0.6944444444444444,3.1665406227111816
122,183199,CRLM,689da96c8b87612e255ad448c8839141,/home/aydin/results/radPretrained/results/CRLM_689da96c8b87612e255ad448c8839141/531cc42973b3b85734a9b0c91d4277d4.dump,76,ResNet50,Top,ROIchannel,Max,Mean,None,ET,1,NeuralNetwork,"{'layer_1': 64, 'layer_2': 4, 'layer_3': 16}",0.47368421052631576,0.7680555555555555,0.75,0.75,4.813101053237915
123,178129,CRLM,71de8b6a2dd4ba1593bcc0c8000e92c8,/home/aydin/results/radPretrained/results/CRLM_71de8b6a2dd4ba1593bcc0c8000e92c8/3f30b8758b441bf056abe1a2b6ea82b4.dump,76,ResNet50,Top,ROIcut,All,Max,None,tScore,2,NeuralNetwork,"{'layer_1': 4, 'layer_2': 64, 'layer_3': 16}",0.6973684210526315,0.7451388888888889,0.75,0.7222222222222222,6.938810348510742
124,181012,CRLM,99b494a376ea585500eaf4a6cd9aedfc,/home/aydin/results/radPretrained/results/CRLM_99b494a376ea585500eaf4a6cd9aedfc/3913e799ba134bdd2e47344f31dcb93d.dump,76,ResNet50,Top,ROIcut,All,Mean,None,Anova,64,NeuralNetwork,"{'layer_1': 4, 'layer_2': 16, 'layer_3': 4}",0.5526315789473685,0.7104166666666667,0.725,0.6666666666666666,3.185446262359619
125,176243,CRLM,303ddb7f7859efb4504e0b88806d5e68,/home/aydin/results/radPretrained/results/CRLM_303ddb7f7859efb4504e0b88806d5e68/865dd6d185fa926e865747c35d6559bd.dump,76,ResNet50,Top,ROIcut,Max,Mean,None,tScore,64,NeuralNetwork,"{'layer_1': 4, 'layer_2': 64, 'layer_3': 64}",0.6710526315789473,0.7159722222222222,0.7,0.7222222222222222,6.792737245559692
